,Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload,Share,IP Address
0,10587,CAMON PROVEDOR SOL EM INTERNET LTDA,Brasília,2022-04-21T02:41:04.548928Z,4.782931234968482,12.774,96060244.06149475,100501942.58638509,,189.50.91.195
0,30408,IST INTERNET,Brasília,2022-04-20T18:06:00.901690Z,1.349963304740397,29.466,107167057.93178862,119978383.65298349,,189.50.91.195
1,18246,The Fiber Internet Banda Larga,Goiânia,2022-04-20T15:06:46.792444Z,173.40147826683392,34.13,90535513.89531514,96964840.77321984,,189.50.91.195
2,28964,Topnet,Morrinhos,2022-04-18T19:45:50.182208Z,248.95837390943632,32.028,101393494.46646924,110131858.52165955,,189.50.91.195
3,20313,Lanteca Telecom LTDA - ME,Caldas Novas,2022-04-18T19:33:43.670993Z,230.8008010268452,72.861,81652596.13482237,105657266.90667252,,189.50.91.195
4,20313,Lanteca Telecom LTDA - ME,Caldas Novas,2022-04-18T19:33:43.670993Z,230.8008010268452,72.861,81652596.13482237,105657266.90667252,,189.50.91.195
5,35541,ConnectX Telecom,Brasília,2022-04-18T19:30:29.775850Z,1.349963304740397,34.015,96443533.35852586,102537675.41915938,,189.50.91.195
6,19017,Goiás Net Telecom,Itumbiara,2022-04-18T19:00:29.078883Z,323.59134523680683,39.559,92747369.62677523,96054197.27756292,,189.50.91.195
7,19017,Goiás Net Telecom,Itumbiara,2022-04-18T18:50:32.664363Z,323.59134523680683,41.664,85748881.54829416,87311742.2019133,,189.50.91.195
8,35541,ConnectX Telecom,Brasília,2022-04-18T18:49:11.297964Z,1.349963304740397,29.082,59368530.20789603,99932291.74377573,,189.50.91.195
9,35541,ConnectX Telecom,Brasília,2022-04-18T18:48:17.930375Z,1.349963304740397,39.762,92197030.8540492,104002989.43861808,,189.50.91.195
10,19017,Goiás Net Telecom,Itumbiara,2022-04-18T18:46:34.342390Z,323.59134523680683,38.277,79147724.08668019,95145474.61715557,,189.50.91.195
11,19017,Goiás Net Telecom,Itumbiara,2022-04-18T18:43:40.027417Z,323.59134523680683,38.049,92116686.28943992,98715382.75885428,,189.50.91.195
12,35541,ConnectX Telecom,Brasília,2022-04-18T18:42:41.846317Z,1.349963304740397,29.219,85901204.39517878,103388374.77379414,,189.50.91.195
13,19017,Goiás Net Telecom,Itumbiara,2022-04-18T18:17:17.106047Z,323.59134523680683,40.054,92472591.77780224,93803532.52296114,,189.50.91.195
14,28201,Jr Connect,Goiânia,2022-04-15T22:42:24.241695Z,173.40147826683392,33.345,104282457.4189481,120160284.68361996,,189.50.91.195
15,28191,JactosInternet,Goiânia,2022-04-15T22:27:43.630735Z,173.40147826683392,36.117,104436994.0767073,118070515.94702534,,189.50.91.195
16,24134,R2 Telecom,Brasilia,2022-04-15T22:19:40.259319Z,1.349963304740397,13.857,106964210.03765924,111625078.64616728,,189.50.91.195
17,41461,NW TELECOM,Brasília,2022-04-15T22:10:21.249115Z,1.349963304740397,13.321,81162300.31456976,78514739.42885444,,189.50.91.195
